Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014830416,matched,Heywood Sumner,Q5749889,,,unchanged,,,"SUMNER, Heywood.",The Besom-Maker & other Country-Folk Songs. Collected and illustrated byH. Sumner.,|||,und,,,"SUMNER, Heywood.",,The Besom-Maker & other Country-Folk Songs. Collected and illustrated byH. Sumner. [electronic resource],,"London : Longmans & Co., 1888.","London : Longmans & Co., 1888.",Longmans & Co.,Longmans & Co.,Longmans & Co.,Longmans & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1888,Exact,1888,,,,,lsidyv306f19e5,song,Music
014830499,none,,,,,unchanged,,,"SYME, John, the Poet.",Poems and Songs on the times.,|||,und,,,"SYME, John, the Poet.",,Poems and Songs on the times. [electronic resource],,"Kilmarnock, 1807.","Kilmarnock, 1807.",,,,,Missing,Kilmarnock,Kilmarnock,Likely clean single place,Kilmarnock,,Kilmarnock,Kilmarnock,,1807,Exact,1807,,,,,lsidyv346b3832,song,Music
014830565,none,,,,,unchanged,,,"TAPPER, John Wheaton Evans.","Songs, Poems and Prose.",|||,und,,,"TAPPER, John Wheaton Evans.",,"Songs, Poems and Prose. [electronic resource]",,"pp. xiii. 369. Printed for private circulation: London, 1897.","pp. xiii. 369. Printed for private circulation : London, 1897.",London,London,London,,Missing,pp. xiii. 369. Printed for private circulation,London,Review: imprint statement,pp. xiii. 369. Printed for private circulation,,London,London,,1897,Exact,1897,,,,,lsidyv3478b700,song,Music
014830716,matched,William Makepeace Thackeray,Q167768,single or unclear,"BROCK, Henry Matthew.",standardised,1863,1811,"Thackeray, William Makepeace",Ballads and Songs ... With original illustrations by H. M. Brock.,|||,und,,,"Thackeray, William Makepeace, 1811-1863",,Ballads and Songs ... With original illustrations by H. M. Brock. [electronic resource],,"London : Cassell & Co., 1896.","London : Cassell & Co., 1896.",Cassell & Co.,Cassell & Co.,Cassell & Co.,Cassell & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1896,Exact,1896,,,"BROCK, Henry Matthew.",,lsidyv342455c9,song,Music
014830791,unreconciled,,,,,unchanged,,,"THOMAS, John, Minister of Catherine Street Presbyterian Church, Liverpool.","The Gateway of Life, and other poems and hymns.",|||,und,,,"THOMAS, John, Minister of Catherine Street Presbyterian Church, Liverpool.",,"The Gateway of Life, and other poems and hymns. [electronic resource]",,"pp. 138. H. Young & Sons: Liverpool, 1899.","pp. 138. H. Young & Sons : Liverpool, 1899.",Liverpool,Liverpool,Liverpool,Liverpool,Named publisher or ambiguous,pp. 138. H. Young & Sons,pp. 138. H. Young & Sons,Multiple places,pp. 138. H. Young & Sons,,Liverpool,Liverpool,,1899,Exact,1899,,,,,lsidyv352c2586,hymn,Music
014830803,none,,,single or unclear,"Wieland, Christoph Martin, 1733-1813",unchanged,,,"THOMPSON, Benjamin, Dramatist.","Oberon's Oath; or, the Paladin and the Princess: a melodramatic romance, in two acts. ... With a biographical memoir of the author.",|||,und,,,"THOMPSON, Benjamin, Dramatist.",,"Oberon's Oath; or, the Paladin and the Princess: a melodramatic romance, in two acts. ... With a biographical memoir of the author. [electronic resource]",,"London, 1816.","London, 1816.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1816,Exact,1816,,,"Wieland, Christoph Martin, 1733-1813",,lsidyv309dad79,melody,Music
014830813,matched,Francis Thompson,Q367745,,,standardised,1907,1859,"Thompson, Francis",[Songs wing-to-wing: an offering to two sisters. By Francis thompson. Printed for private circulation.],|||,und,,,"Thompson, Francis, 1859-1907.",,[Songs wing-to-wing: an offering to two sisters. By Francis thompson. Printed for private circulation.] [electronic resource],[Another edition.] Sister-songs: an offering to two sisters.,"John Lane; Boston Copeland and Day : London, 1895.","John Lane; Boston Copeland and Day : London, 1895.",London,London,London,London,Named publisher or ambiguous,John Lane; Boston Copeland and Day,John Lane; Boston Copeland and Day,Multiple places,John Lane; Boston Copeland and Day,,John Lane; Boston Copeland and Day,John Lane; Boston Copeland and Day,,1895,Exact,1895,,,,,lsidyv3475f13f,song,Music
014830851,matched,John J. Thomson,Q6241307,single or unclear,"Cooper, James Davis, 1823-1904.",standardised,1921,1837,"Thomson, J. (John)","The Straits of Malacca, Indo-China, and China; or ten years' travels, adventures, and residence abroad ... Illustrated ... by J. D. Cooper, etc.",|||,eng,,,"Thomson, J. (John), 1837-1921.",,"The Straits of Malacca, Indo-China, and China; or ten years' travels, adventures, and residence abroad ... Illustrated ... by J. D. Cooper, etc. [electronic resource]",,"London, 1875, [1874].","London, 1875, [1874].",,,,,Missing,"London, 1875","London, 1875",Review: comma-separated,"London, 1875",,"London, 1875","London, 1875",,1875,Supplied,1874,,,"Cooper, James Davis, 1823-1904.",,lsidyv391235bc,opera,Music
014830959,none,,,,,unchanged,,,"Todd, James G.","Strila; or, the Palace of Strife ... With other poems and songs.",|||,und,,,"Todd, James G.",,"Strila; or, the Palace of Strife ... With other poems and songs. [electronic resource]",,"pp. 222. Oliver and Boyd: Edinburgh; Irvine [printed], 1823.","pp. 222. Oliver and Boyd : Edinburgh; Irvine [printed], 1823.",Edinburgh; Irvine [printed,Edinburgh; Irvine [printed,Edinburgh; Irvine [printed,Edinburgh; Irvine [printed,Printer statement,pp. 222. Oliver and Boyd,pp. 222. Oliver and Boyd,Likely clean single place,pp. 222. Oliver and Boyd,,pp. 222. Oliver and Boyd,pp. 222. Oliver and Boyd,,1823,Exact,1823,,,,,lsidyv33848200,song,Music
014831378,none,,,,,unchanged,,,"VERNON, Henry, of Alnwick.","Thoughts of Leisure Hours. Poems, songs, etc.",|||,und,,,"VERNON, Henry, of Alnwick.",,"Thoughts of Leisure Hours. Poems, songs, etc. [electronic resource]",,"Edinburgh, 1871.","Edinburgh, 1871.",,,,,Missing,Edinburgh,Edinburgh,Likely clean single place,Edinburgh,Q23436,Edinburgh,Edinburgh,,1871,Exact,1871,,,,,lsidyv347240fe,song,Music
014831446,none,,,,,unchanged,,,"VINING, Charles Ed.",The Coming King of Barbizan. (Comic opera in three acts.).,|||,und,,,"VINING, Charles Ed.",,The Coming King of Barbizan. (Comic opera in three acts.). [electronic resource],,"Karachi : Victoria Press, 1894.","Karachi : Victoria Press, 1894.",Victoria Press,Victoria Press,Victoria Press,Victoria Press,Named publisher or ambiguous,Karachi,Karachi,Likely clean single place,Karachi,,Karachi,Karachi,,1894,Exact,1894,,,,,lsidyv3984b42b,opera,Music
014831453,blank,,,multiple: dash,"Finger, Godfrey, ca. 1660-1730. -- SETTLE, Elkanah.",missing,,,,"The musical entertainments in the Virgin Prophetess, a new opera [by E. Settle]; composed by Mr. Finger.",|||,und,,,,,"The musical entertainments in the Virgin Prophetess, a new opera [by E. Settle]; composed by Mr. Finger. [electronic resource]",,"London, 1701.","London, 1701.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1701,Exact,1701,,,"Finger, Godfrey, ca. 1660-1730. -- SETTLE, Elkanah.",,lsidyv33531724,opera,Music
