Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014616955,none,,,single or unclear,"Planché, J. R. (James Robinson), 1796-1880.",unchanged,,,"P., I. R.","Songs, Duets, Choruses, &c. in the New Romantic and Fairy Opera in three-acts, called Oberon: or, the Elf-King's oath, etc. [The preface signed: I. R. P., i.e. James Robinson Planché.]",|||,und,,,"P., I. R.",,"Songs, Duets, Choruses, &c. in the New Romantic and Fairy Opera in three-acts, called Oberon: or, the Elf-King's oath, etc. [The preface signed: I. R. P., i.e. James Robinson Planché.] [electronic resource]",,"London : W. Reynolds, [1826.].","London : W. Reynolds, [1826.].",W. Reynolds,W. Reynolds,W. Reynolds,W. Reynolds,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1826,Supplied,1826,,,"Planché, J. R. (James Robinson), 1796-1880.",,lsidyv3493cc27,opera,Music
014616959,blank,,,,,missing,,,,"Songs, Recitatives, &c. in the entertainment of Pandora's Box; or, the Plagues of Mankind. As performed at Sadler's Wells.",|||,und,,,,,"Songs, Recitatives, &c. in the entertainment of Pandora's Box; or, the Plagues of Mankind. As performed at Sadler's Wells. [electronic resource]",,"[London,], 1793.","[London, ], 1793.",,,,,Missing,"London, ]",London,Likely clean single place,London,Q84,London,London,,1793,Exact,1793,,,,,lsidyv3493eef7,song,Music
014616971,none,,,,,unchanged,,,"PAUL, G. Henry Howard.",The Songs introduced in Howard Paul's ... Entertainment “Patch Work.” Fifth edition.,|||,und,,,"PAUL, G. Henry Howard.",,The Songs introduced in Howard Paul's ... Entertainment “Patch Work.” Fifth edition. [electronic resource],,"London : R. Cocks & Co., [1856?].","London : R. Cocks & Co., [1856?].",R. Cocks & Co.,R. Cocks & Co.,R. Cocks & Co.,R. Cocks & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1856,Uncertain,1856,,,,,lsidyv3492e07c,song,Music
014616979,blank,,,,,missing,,,,"Songs, duets, and dramatic pieces in the comic opera of Philandering, or, the Rose Queen, etc.",|||,und,,,,,"Songs, duets, and dramatic pieces in the comic opera of Philandering, or, the Rose Queen, etc. [electronic resource]",,"London, 1824.","London, 1824.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1824,Exact,1824,,,,,lsidyv34ec23f2,opera,Music
014616984,unreconciled,,,,,unchanged,,,"PINDER, Thomas.",Pinder's Pantomime Song-Book.,|||,und,,,"PINDER, Thomas.",,Pinder's Pantomime Song-Book. [electronic resource],,"Leeds : Pinder & Howes, [1883.]","Leeds : Pinder & Howes, [1883.]",Pinder & Howes,Pinder & Howes,Pinder & Howes,Pinder & Howes,Named publisher or ambiguous,Leeds,Leeds,Likely clean single place,Leeds,Q39121,Leeds,Leeds,,1883,Supplied,1883,,,,,lsidyv3459ca17,pantomime,Music
014616986,matched,James Planché,Q1680990,,,standardised,1880,1796,"Planché, J. R. (James Robinson)","The Vampire, or the Bride of the Isles. A romantic melodrama in two acts, preceded by an Introductory Vision.",|||,und,,,"Planché, J. R. (James Robinson), 1796-1880.",,"The Vampire, or the Bride of the Isles. A romantic melodrama in two acts, preceded by an Introductory Vision. [electronic resource]",,"London, 1820.","London, 1820.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1820,Exact,1820,,,,,lsidyv3493ce49,melody,Music
014616988,blank,,,single or unclear,"Dibdin, Thomas, 1771-1841.",missing,,,,"Songs, duets, chorusses, etc., in the White Plume, or the Border Chieftains [by T. J. Dibdin].",|||,und,,,,,"Songs, duets, chorusses, etc., in the White Plume, or the Border Chieftains [by T. J. Dibdin]. [electronic resource]",,"London, 1806.","London, 1806.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1806,Exact,1806,,,"Dibdin, Thomas, 1771-1841.",,lsidyv3493d077,song,Music
014616990,none,,,,,unchanged,,,"POCOCK, Isaac.","“For England, Ho!” A melo-dramatic opera in two acts.",|||,und,,,"POCOCK, Isaac.",,"“For England, Ho!” A melo-dramatic opera in two acts. [electronic resource]",,"London, 1814.","London, 1814.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1814,Exact,1814,,,,,lsidyv3493d164,opera,Music
014617003,blank,,,single or unclear,"Shipp, John, 1784-1834.",missing,,,,"The Maniac of the Pyrenees; or, the Heroic Soldier's Wife. A melodrama, in two acts [and in prose by John Shipp.]",|||,und,,,,,"The Maniac of the Pyrenees; or, the Heroic Soldier's Wife. A melodrama, in two acts [and in prose by John Shipp.] [electronic resource]",,"Brentford : P. Norbury, 1829.","Brentford : P. Norbury, 1829.",P. Norbury,P. Norbury,P. Norbury,P. Norbury,Named publisher or ambiguous,Brentford,Brentford,Likely clean single place,Brentford,,Brentford,Brentford,,1829,Exact,1829,,,"Shipp, John, 1784-1834.",,lsidyv3493d63b,melody,Music
014617011,none,,,single or unclear,"La Shelle, Kirke.",unchanged,,,"RANKEN, Frederic, and LA SHELLE (Kirke)","The Ameer. A comic opera in three acts, etc.",|||,und,,,"RANKEN, Frederic, and LA SHELLE (Kirke)",,"The Ameer. A comic opera in three acts, etc. [electronic resource]",,"Chicago : M. Witmark & Sons, 1899.","Chicago : M. Witmark & Sons, 1899.",M. Witmark & Sons,M. Witmark & Sons,M. Witmark & Sons,M. Witmark & Sons,Named publisher or ambiguous,Chicago,Chicago,Likely clean single place,Chicago,,Chicago,Chicago,,1899,Exact,1899,,,"La Shelle, Kirke.",,lsidyv34ec7b9c,opera,Music
014617017,none,,,single or unclear,"YARDLEY, William.",unchanged,,,"REECE, Robert, Dramatist, and YARDLEY (W.)",Herne the Hunted! Pantomimic-burlesque. [In two acts.],|||,und,,,"REECE, Robert, Dramatist, and YARDLEY (W.)",,Herne the Hunted! Pantomimic-burlesque. [In two acts.] [electronic resource],,"London : Williams & Son, [1880?].","London : Williams & Son, [1880?].",Williams & Son,Williams & Son,Williams & Son,Williams & Son,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1880,Uncertain,1880,,,"YARDLEY, William.",,lsidyv34ebb2eb,pantomime,Music
014617021,matched,Amy Dora Reynolds,Q4749164,,,unchanged,,,"REYNOLDS, Amy Dora.",Songs and Poems.,|||,und,,,"REYNOLDS, Amy Dora.",,Songs and Poems. [electronic resource],,"pp. 48. McCorquodale & Co.: Leeds, 1890.","pp. 48. McCorquodale & Co. : Leeds, 1890.",Leeds,Leeds,Leeds,Leeds,Named publisher or ambiguous,pp. 48. McCorquodale & Co.,pp. 48. McCorquodale & Co.,Multiple places,pp. 48. McCorquodale & Co.,,Leeds,Leeds,,1890,Exact,1890,,,,,lsidyv34729a5e,song,Music
014617022,matched,William Barnes Rhodes,Q8005088,,,unchanged,,,"RHODES, William Barnes.","Bombastes Furioso: a burlesque tragic opera, in one act [and in verse].",|||,und,,,"RHODES, William Barnes.",,"Bombastes Furioso: a burlesque tragic opera, in one act [and in verse]. [electronic resource]",,"London : T. Rodd, 1822.","London : T. Rodd, 1822.",T. Rodd,T. Rodd,T. Rodd,T. Rodd,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1822,Exact,1822,,,,,lsidyv3493d764,opera,Music
014617031,matched,Philippe de Rohan-Chabot,Q3380999,,,standardised,1875,1815,"Jarnac, Philippe-Ferdinand-Auguste de Rohan-Chabot, comte de",Emma Stanley Outdone! An original melodrama.,|||,und,,,"Jarnac, Philippe-Ferdinand-Auguste de Rohan-Chabot, comte de, 1815-1875.",,Emma Stanley Outdone! An original melodrama. [electronic resource],,"Worksop : Printed for the Author, 1867.","Worksop : Printed for the Author, 1867.",Printed for the Author,Printed for the Author,Printed for the Author,Printed for the Author,Printer statement,Worksop,Worksop,Likely clean single place,Worksop,,Worksop,Worksop,,1867,Exact,1867,,,,,lsidyv349c77c2,melody,Music
014617043,none,,,,,unchanged,,,"ROSS, Charles Archibald.",Sonnet and Song.,|||,und,,,"ROSS, Charles Archibald.",,Sonnet and Song. [electronic resource],,"Bournemouth : T. J. Powell, 1889.","Bournemouth : T. J. Powell, 1889.",T. J. Powell,T. J. Powell,T. J. Powell,T. J. Powell,Named publisher or ambiguous,Bournemouth,Bournemouth,Likely clean single place,Bournemouth,,Bournemouth,Bournemouth,,1889,Exact,1889,,,,,lsidyv3472e934,song,Music
014617044,none,,,,,unchanged,,,"ROSS, Charles Archibald.",[Sonnet and Song.],|||,und,,,"ROSS, Charles Archibald.",,[Sonnet and Song.] [electronic resource],[Another edition.],"pp. 56. J. W. Arrowsmith: Bristol, 1894.","pp. 56. J. W. Arrowsmith : Bristol, 1894.",Bristol,Bristol,Bristol,Bristol,Named publisher or ambiguous,pp. 56. J. W. Arrowsmith,pp. 56. J. W. Arrowsmith,Likely clean single place,pp. 56. J. W. Arrowsmith,,pp. 56. J. W. Arrowsmith,pp. 56. J. W. Arrowsmith,,1894,Exact,1894,,,,,lsidyv34771d35,song,Music
014617048,unreconciled,,,,,unchanged,,,"RUSHBROOKE, Alfred.","The Advents, Literal and Spiritual. A song of adoration, etc.",|||,und,,,"RUSHBROOKE, Alfred.",,"The Advents, Literal and Spiritual. A song of adoration, etc. [electronic resource]",,"pp. 30. Partridge & Co.: London, [1894.]","pp. 30. Partridge & Co. : London, [1894.]",London,London,London,London,Named publisher or ambiguous,pp. 30. Partridge & Co.,pp. 30. Partridge & Co.,Multiple places,pp. 30. Partridge & Co.,,London,London,,1894,Supplied,1894,,,,,lsidyv3495b243,song,Music
014617054,matched,Arthur Leslie Salmon,Q27891024,,,unchanged,,,"SALMON, Arthur Leslie.","Songs of a Heart's Surrender, and other verse.",|||,und,,,"SALMON, Arthur Leslie.",,"Songs of a Heart's Surrender, and other verse. [electronic resource]",,"pp. viii. 61. W. Blackwood & Sons: Edinburgh, 1895.","pp. viii. 61. W. Blackwood & Sons : Edinburgh, 1895.",Edinburgh,Edinburgh,Edinburgh,Edinburgh,Named publisher or ambiguous,pp. viii. 61. W. Blackwood & Sons,pp. viii. 61. W. Blackwood & Sons,Multiple places,pp. viii. 61. W. Blackwood & Sons,,Edinburgh,Edinburgh,,1895,Exact,1895,,,,,lsidyv34954c9d,song,Music
014617058,blank,,,,,missing,,,,"Songs, duets ... in the Duke of Savoy; a new musical play in three acts, etc.",|||,und,,,,,"Songs, duets ... in the Duke of Savoy; a new musical play in three acts, etc. [electronic resource]",,"London, 1817.","London, 1817.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1817,Exact,1817,,,,,lsidyv34ec350b,song,Music
014617063,none,,,,,unchanged,,,"SEARS, Edmund Hamilton, Unitarian Minister.",The Angels' Song. [Illustrated.],|||,und,,,"SEARS, Edmund Hamilton, Unitarian Minister.",,The Angels' Song. [Illustrated.] [electronic resource],,"London; Nuremberg : E. Nister, [1888]","London; Nuremberg : E. Nister, [1888]",E. Nister,E. Nister,E. Nister,E. Nister,Named publisher or ambiguous,London; Nuremberg,London; Nuremberg,Multiple places,London; Nuremberg,,London; Nuremberg,London; Nuremberg,,1888,Supplied,1888,,,,,lsidyv3475812b,song,Music
014617074,unreconciled,,,,,unchanged,,,"SHERIDAN, Richard Brinsley Butler, Right Hon.",“Here's to the Maiden of Bashful Fifteen” [song from “The School for Scandal”]. Illustrated by Alice Havers and E. Wilson.,|||,und,,,"SHERIDAN, Richard Brinsley Butler, Right Hon.",,“Here's to the Maiden of Bashful Fifteen” [song from “The School for Scandal”]. Illustrated by Alice Havers and E. Wilson. [electronic resource],,"Hildesheimer & Faulkner: London; Germany [printed, 1892].","Hildesheimer & Faulkner : London; Germany [printed, 1892].",London; Germany [printed,London; Germany [printed,London; Germany [printed,London; Germany [printed,Printer statement,Hildesheimer & Faulkner,Hildesheimer & Faulkner,Multiple places,Hildesheimer & Faulkner,,Hildesheimer & Faulkner,Hildesheimer & Faulkner,,1892,Exact,1892,,,,,lsidyv3472709e,song,Music
014617082,none,,,single or unclear,"TUTIN, John Ramsden.",unchanged,,,"SMART, Christopher.",[A song to David. 1763.],|||,und,,,"SMART, Christopher.",,[A song to David. 1763.] [electronic resource],"[Another edition.] Edited, with notes, etc., by J. R. Tutin.","London: William Andrews & Co., 1898 [1897].","London : William Andrews & Co., 1898 [1897].","William Andrews & Co., 1898","William Andrews & Co., 1898","William Andrews & Co., 1898",William Andrews & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1898,Supplied,1897,,,"TUTIN, John Ramsden.",,lsidyv347102af,song,Music
014617088,blank,,,single or unclear,"NEWMAN, Henry, Verse Writer.",missing,,,,Songs of my Solitude. [By H. Newman.],|||,und,,,,,Songs of my Solitude. [By H. Newman.] [electronic resource],,"pp. 88. Digby, Long & Co.: London, [1895.]","pp. 88. Digby, Long & Co. : London, [1895.]",London,London,London,London,Named publisher or ambiguous,"pp. 88. Digby, Long & Co.","pp. 88. Digby, Long & Co.",Multiple places,"pp. 88. Digby, Long & Co.",,London,London,,1895,Supplied,1895,,,"NEWMAN, Henry, Verse Writer.",,lsidyv347765fb,song,Music
014617092,matched,William Barclay Squire,Q4422652,multiple: dash,"MAZZUCATO, Giovanni Andrea. -- MOORE, Thomas, the Poet.",standardised,1927,1855,"Squire, William Barclay",The Veiled Prophet. A romantic opera in 3 acts. The libretto adapted from Moore's “Lalla Rookh.” ... Italian version by G. Mazzucato. Eng. & Ital.,|||,und,,,"Squire, William Barclay, 1855-1927.",,The Veiled Prophet. A romantic opera in 3 acts. The libretto adapted from Moore's “Lalla Rookh.” ... Italian version by G. Mazzucato. Eng. & Ital. [electronic resource],,"London : Boosey & Co., [1893.].","London : Boosey & Co., [1893.].",Boosey & Co.,Boosey & Co.,Boosey & Co.,Boosey & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1893,Supplied,1893,,,"MAZZUCATO, Giovanni Andrea. -- MOORE, Thomas, the Poet.",,lsidyv34ebca49,opera,Music
014617095,none,,,,,manual review,1906,,"Stephenson, B. C. (Benjamin Charles), d. 1906.",The Improvisatore. An operetta in one act.,|||,und,,,"Stephenson, B. C. (Benjamin Charles), d. 1906.",,The Improvisatore. An operetta in one act. [electronic resource],,"London : Boosey & Co., [1893.].","London : Boosey & Co., [1893.].",Boosey & Co.,Boosey & Co.,Boosey & Co.,Boosey & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1893,Supplied,1893,,,,,lsidyv34ebcba2,opera,Music
014617097,unreconciled,,,,,unchanged,,,"STEVENSON, Wallace.",Some Songs and Verses ... First series.,|||,und,,,"STEVENSON, Wallace.",,Some Songs and Verses ... First series. [electronic resource],,"pp. 62. A. Constable & Co.: London, 1900.","pp. 62. A. Constable & Co. : London, 1900.",London,London,London,London,Named publisher or ambiguous,pp. 62. A. Constable & Co.,pp. 62. A. Constable & Co.,Multiple places,pp. 62. A. Constable & Co.,,London,London,,1900,Exact,1900,,,,,lsidyv3477e3e9,song,Music
014617101,unreconciled,,,single or unclear,"Scott, Walter, Sir, 1771-1832",unchanged,,,"STURGIS, Julian Russell.","Ivanhoe, a romantic opera adapted from Sir Walter Scott's novel, etc.",|||,und,,,"STURGIS, Julian Russell.",,"Ivanhoe, a romantic opera adapted from Sir Walter Scott's novel, etc. [electronic resource]",,"London : Chappell & Co., [1891.].","London : Chappell & Co., [1891.].",Chappell & Co.,Chappell & Co.,Chappell & Co.,Chappell & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1891,Supplied,1891,,,"Scott, Walter, Sir, 1771-1832",,lsidyv34ebc3a4,opera,Music
014617109,blank,,,single or unclear,"DIMOND, William.",missing,,,,"The Broken S., a grand melo-drama [in two acts and in prose], interspersed with songs, chorusses, etc. [By W. Dimond.]",|||,und,,,,,"The Broken S., a grand melo-drama [in two acts and in prose], interspersed with songs, chorusses, etc. [By W. Dimond.] [electronic resource]",,"London, 1816.","London, 1816.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1816,Exact,1816,,,"DIMOND, William.",,lsidyv34ec3931,song,Music
014617123,none,,,,,unchanged,,,"THOMSON, John, Writer of Verse.",Golfing and other poems and songs.,|||,und,,,"THOMSON, John, Writer of Verse.",,Golfing and other poems and songs. [electronic resource],,"Glasgow : William Hodge & Co., 1893.","Glasgow : William Hodge & Co., 1893.",William Hodge & Co.,William Hodge & Co.,William Hodge & Co.,William Hodge & Co.,Named publisher or ambiguous,Glasgow,Glasgow,Likely clean single place,Glasgow,Q4093,Glasgow,Glasgow,,1893,Exact,1893,,,,,lsidyv3494eda4,song,Music
014617124,none,,,,,unchanged,,,"THOMSON, Thomas, Printer.",Rhymes and Songs for Printers.,|||,und,,,"THOMSON, Thomas, Printer.",,Rhymes and Songs for Printers. [electronic resource],,"pp. viii. 56. [The Author:] Edinburgh, 1897.","pp. viii. 56. [The Author : ] Edinburgh, 1897.",] Edinburgh,] Edinburgh,] Edinburgh,The Author,Author/self-publication statement,pp. viii. 56. [The Author,Edinburgh,Likely clean single place,Edinburgh,Q23436,] Edinburgh,Edinburgh,,1897,Exact,1897,,,,,lsidyv3494b9aa,song,Music
014617126,matched,Edward Hovell Thurlow,Q18528191,,,unchanged,,,"THURLOW, Edward Hovell, 2nd Baron Thurlow.","Carmen Britanicum; or, the Song of Britain: written in honour of his Royal Highness, George Augustus Frederick, Prince Regent.",|||,und,,,"THURLOW, Edward Hovell, 2nd Baron Thurlow.",,"Carmen Britanicum; or, the Song of Britain: written in honour of his Royal Highness, George Augustus Frederick, Prince Regent. [electronic resource]",,"London, 1814.","London, 1814.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1814,Exact,1814,,,,,lsidyv34700f9b,song,Music
014617134,none,,,single or unclear,"VINCENT, William Thomas.",unchanged,,,"TORR, A. C., pseud. [i.e. Frederick Hobson] and VINCENT (William Thomas)",Cinder-Ellen up too late. Burlesque [in two acts. Words of the songs only].,|||,und,,,"TORR, A. C., pseud. [i.e. Frederick Hobson] and VINCENT (William Thomas)",,Cinder-Ellen up too late. Burlesque [in two acts. Words of the songs only]. [electronic resource],,"Cape Town : G. Beresford Henry, 1893.","Cape Town : G. Beresford Henry, 1893.",G. Beresford Henry,G. Beresford Henry,G. Beresford Henry,G. Beresford Henry,Named publisher or ambiguous,Cape Town,Cape Town,Likely clean single place,Cape Town,,Cape Town,Cape Town,,1893,Exact,1893,,,"VINCENT, William Thomas.",,lsidyv34ebb840,song,Music
014617136,none,,,,,unchanged,,,"TREVALDWYN, Benn Wilkes Jones.",Songs and Rhymes and Simple Verses.,|||,und,,,"TREVALDWYN, Benn Wilkes Jones.",,Songs and Rhymes and Simple Verses. [electronic resource],,"pp. x. 102. E. Stock: London, 1896.","pp. x. 102. E. Stock : London, 1896.",London,London,London,London,Named publisher or ambiguous,pp. x. 102. E. Stock,pp. x. 102. E. Stock,Likely clean single place,pp. x. 102. E. Stock,,pp. x. 102. E. Stock,pp. x. 102. E. Stock,,1896,Exact,1896,,,,,lsidyv34985e37,song,Music
014617138,blank,,,single or unclear,"BURGES, afterwards LAMB, James Bland, Sir, Bart.",missing,,,,"Songs, duets, &c. in Tricks upon Travellers, a comic opera in three acts [by Sir J. B. Burges?]. ... Second edition.",|||,und,,,,,"Songs, duets, &c. in Tricks upon Travellers, a comic opera in three acts [by Sir J. B. Burges?]. ... Second edition. [electronic resource]",,"London, 1810.","London, 1810.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1810,Exact,1810,,,"BURGES, afterwards LAMB, James Bland, Sir, Bart.",,lsidyv34ec47f4,opera,Music
014617149,none,,,,,unchanged,,,"Vigay, Fred. J. (Frederick J.)","Double Dealings. Operetta, etc.",|||,und,,,"Vigay, Fred. J. (Frederick J.)",,"Double Dealings. Operetta, etc. [electronic resource]",,"London : R. Cocks & Co., [1898.].","London : R. Cocks & Co., [1898.].",R. Cocks & Co.,R. Cocks & Co.,R. Cocks & Co.,R. Cocks & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1898,Supplied,1898,,,,,lsidyv34ec769b,opera,Music
014617151,blank,,,,,missing,,,,"The songs, choruses, etc. in Vineyard Revels; or Harlequin Bacchanal ... performed at Sadler's Wells.",|||,und,,,,,"The songs, choruses, etc. in Vineyard Revels; or Harlequin Bacchanal ... performed at Sadler's Wells. [electronic resource]",,"[London, 1775?]","[London, 1775?]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1775,Uncertain,1775,,,,,lsidyv3493e318,song,Music
014617152,blank,,,,,missing,,,,"Songs, glees, trios, etc. etc., in the operatick piece called the Heir of Vironi, of Honesty the best Policy, etc.",|||,und,,,,,"Songs, glees, trios, etc. etc., in the operatick piece called the Heir of Vironi, of Honesty the best Policy, etc. [electronic resource]",,"London, 1817.","London, 1817.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1817,Exact,1817,,,,,lsidyv34ec49e6,opera,Music
014617181,unreconciled,,,,,unchanged,,,"WHITE, Alexina B.",Little-Folk Songs. [With illustrations.],|||,und,,,"WHITE, Alexina B.",,Little-Folk Songs. [With illustrations.] [electronic resource],,"London, [1871.]","London, [1871.]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1871,Supplied,1871,,,,,lsidyv3473447e,song,Music
014617182,unreconciled,,,,,unchanged,,,"WHITE, Alexina B.",[Little-Folk Songs. [With illustrations.]],|||,und,,,"WHITE, Alexina B.",,[Little-Folk Songs. [With illustrations.]] [electronic resource],[Another edition.],"New York, Cambridge [Mass. printed, 1871.]","New York, Cambridge [Mass. printed, 1871.]",,,,,Missing,"New York, Cambridge [Mass. printed","New York, Cambridge [Mass.",Review: comma-separated,"New York, Cambridge [Mass.",,"New York, Cambridge [Mass.","New York, Cambridge [Mass.",,1871,Exact,1871,,,,,lsidyv347630be,song,Music
014617186,none,,,,,unchanged,,,"Willett, Ernest Noddall.","A Prodigal Son; or, Gleaners of Life. A new ... opera in two acts.",|||,und,,,"Willett, Ernest Noddall.",,"A Prodigal Son; or, Gleaners of Life. A new ... opera in two acts. [electronic resource]",,"Liverpool : Lee & Nightingale, [1896.].","Liverpool : Lee & Nightingale, [1896.].",Lee & Nightingale,Lee & Nightingale,Lee & Nightingale,Lee & Nightingale,Named publisher or ambiguous,Liverpool,Liverpool,Likely clean single place,Liverpool,,Liverpool,Liverpool,,1896,Supplied,1896,,,,,lsidyv3503015a,opera,Music
014617189,none,,,,,unchanged,,,"WILLMORE, E. M. Selden.",“Sesostris”: an entirely original supernatural Egyptian opera. Written by E. M. S. Willmore. Composed by Charles Franklin. [The words only.],|||,und,,,"WILLMORE, E. M. Selden.",,“Sesostris”: an entirely original supernatural Egyptian opera. Written by E. M. S. Willmore. Composed by Charles Franklin. [The words only.] [electronic resource],,"London : D. Nutt, 1899.","London : D. Nutt, 1899.",D. Nutt,D. Nutt,D. Nutt,D. Nutt,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1899,Exact,1899,,,,,lsidyv34ebd311,opera,Music
014617190,none,,,single or unclear,"SHELLEY, Percy Florence, Sir, Bart.",unchanged,,,"WINGFIELD, Watkin.","Boscombe Theatre. The Hidden Treasure: a melodrama in three acts [and in prose]. ... Re-modelled and partially re-written by Sir P. F. Shelley, etc.",|||,und,,,"WINGFIELD, Watkin.",,"Boscombe Theatre. The Hidden Treasure: a melodrama in three acts [and in prose]. ... Re-modelled and partially re-written by Sir P. F. Shelley, etc. [electronic resource]",,"London, 1877.","London, 1877.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1877,Exact,1877,,,"SHELLEY, Percy Florence, Sir, Bart.",,lsidyv34eb9f33,melody,Music
014617198,none,,,single or unclear,"BROAD, Eric.",unchanged,,,"WYLDE, Hamilton O., and BROAD (Eric)","Ethelinda; or, a philanthropic fad. An entirely new and original comedy opera in an introductory scene and three acts.",|||,und,,,"WYLDE, Hamilton O., and BROAD (Eric)",,"Ethelinda; or, a philanthropic fad. An entirely new and original comedy opera in an introductory scene and three acts. [electronic resource]",,"Sherborne, [1890.]","Sherborne, [1890.]",,,,,Missing,Sherborne,Sherborne,Likely clean single place,Sherborne,,Sherborne,Sherborne,,1890,Supplied,1890,,,"BROAD, Eric.",,lsidyv349b8d28,opera,Music
014617199,blank,,,single or unclear,"POCOCK, Isaac.",missing,,,,"Songs, duets, etc. in the new melo-dramatic entertainment called Twenty Years ago [by J. Pocock], etc.",|||,und,,,,,"Songs, duets, etc. in the new melo-dramatic entertainment called Twenty Years ago [by J. Pocock], etc. [electronic resource]",,"London, 1810.","London, 1810.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1810,Exact,1810,,,"POCOCK, Isaac.",,lsidyv34ec4be4,song,Music
014617202,none,,,,,unchanged,,,"A., M., Oxon.","An entirely new and original old English opera, in three acts, entitled: Magna Charta, or a Romance of Runnymede. Written by M. A., Oxon. Composed by F. Dean.",|||,und,,,"A., M., Oxon.",,"An entirely new and original old English opera, in three acts, entitled: Magna Charta, or a Romance of Runnymede. Written by M. A., Oxon. Composed by F. Dean. [electronic resource]",,"Lancaster : Eaton & Bulfield, [1887.].","Lancaster : Eaton & Bulfield, [1887.].",Eaton & Bulfield,Eaton & Bulfield,Eaton & Bulfield,Eaton & Bulfield,Named publisher or ambiguous,Lancaster,Lancaster,Likely clean single place,Lancaster,,Lancaster,Lancaster,,1887,Supplied,1887,,,,,lsidyv3492ec81,opera,Music
014617205,matched,Arthur St. John Adcock,Q4668871,,,standardised,1930,1864,"Adcock, Arthur St. John",Songs of the War.,|||,und,,,"Adcock, Arthur St. John, 1864-1930.",,Songs of the War. [electronic resource],,"pp. 52. R. B. Johnson: London, 1900.","pp. 52. R. B. Johnson : London, 1900.",London,London,London,London,Named publisher or ambiguous,pp. 52. R. B. Johnson,pp. 52. R. B. Johnson,Likely clean single place,pp. 52. R. B. Johnson,,pp. 52. R. B. Johnson,pp. 52. R. B. Johnson,,1900,Exact,1900,,,,,lsidyv34792943,song,Music
014617209,blank,,,single or unclear,"Warton, Ferdinand Fullarton.",missing,,,,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]",|||,und,,,,,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.] [electronic resource]",,"London : T. & R. Hughes, 1808.","London : T. & R. Hughes, 1808.",T. & R. Hughes,T. & R. Hughes,T. & R. Hughes,T. & R. Hughes,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1808,Exact,1808,,,"Warton, Ferdinand Fullarton.",,lsidyv3493835c,melody,Music
014617213,unreconciled,,,,,unchanged,,,"Ambler, B. G. (Benjamin George)",Ballads of Greater Britain and songs of an Anglo-Saxon.,|||,und,,,"Ambler, B. G. (Benjamin George)",,Ballads of Greater Britain and songs of an Anglo-Saxon. [electronic resource],,"pp. 21. Elliot Stock: London, 1900.","pp. 21. Elliot Stock : London, 1900.",London,London,London,London,Named publisher or ambiguous,pp. 21. Elliot Stock,pp. 21. Elliot Stock,Likely clean single place,pp. 21. Elliot Stock,,pp. 21. Elliot Stock,pp. 21. Elliot Stock,,1900,Exact,1900,,,,,lsidyv347915f1,song,Music
