Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal author,Author_review_status,Author_birth_year,Author_death_year,Author_name_clean,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Corporate author,Title,Title_clean,Edition,Imprint,Series,Subjects,Other personal authors,Other_personal_authors_clean,Other_authors_structure,Other corporate authors,DOM ID,Type,Genre
014860373,|||,eng,,,,missing,,,,blank,,,,A brief narrative of the commencement and progress of the fetid irrigations and foul water pits around the city of Edinburgh; with proofs of their operation in creating nuisance and in producing disease. [electronic resource],A brief narrative of the commencement and progress of the fetid irrigations and foul water pits around the city of Edinburgh; with proofs of their operation in creating nuisance and in producing disease.,,"Edinburgh, 1840.",,Edinburgh (Scotland),,,,,lsidyv36010ef0,opera,Music
014860494,|||,eng,,,"HARDIMAN, James.",unchanged,,,James Hardiman,matched,James Hardiman,Q1680529,,"Ancient Irish Deeds and Writings chiefly relating to Landed Property, from the twelfth to the seventeenth century: with translations, notes, and a preliminary essay. [electronic resource]","Ancient Irish Deeds and Writings chiefly relating to Landed Property, from the twelfth to the seventeenth century: with translations, notes, and a preliminary essay.",,"Dublin, 1826.",,,,,,,lsidyv36157c2c,opera,Music
014860657,|||,ita,,,"Lauzières, Achille de.",unchanged,,,Achille de Lauzières,matched,Achille de Lauzières,Q28779257,,"Descrizione della città di Napoli e delle sue vicinanze, divisa in XXX. giornate: opera corredata di figure intagliate in legno ... a cura e spese di G. Nobile. [Giornata 1-3 written by A. de L.: giornata 4-12 by R. d'Ambra.] [electronic resource]","Descrizione della città di Napoli e delle sue vicinanze, divisa in XXX. giornate: opera corredata di figure intagliate in legno ... a cura e spese di G. Nobile. [Giornata 1-3 written by A. de L.: giornata 4-12 by R. d'Ambra.]",,"Napoli, 1855.",,,"AMBRA, Raffaele d'. -- NOBILE, Gaetano.","AMBRA, Raffaele d'. -- NOBILE, Gaetano.",multiple: dash,,lsidyv3dbc8067,opera,Music
014860851,|||,eng,,,"OXENFORD, John.",unchanged,,,John Oxenford,matched,John Oxenford,Q3182232,,"Der Freischutz. A grand romantic opera, in four acts. The words [translated from the German of J. F. Kind] by J. O., etc. [electronic resource]","Der Freischutz. A grand romantic opera, in four acts. The words [translated from the German of J. F. Kind] by J. O., etc.",,"London : T. H. Lacy, [1866.].",,,"KIND, Johann Friedrich.","KIND, Johann Friedrich.",single or unclear,,lsidyv36034a1c,opera,Music
014860872,|||,ita,,,"PELLÉ, Clement.",unchanged,,,"PELLÉ, Clement.",none,,,,"Il Mediterraneo illustrato, le sue isole e le sue spiagge ... opera illustrata da sessantaquattro magnifiche incisioni in acciaio eseguite dai più distinti artisti di Londra, su i disegni originali levati sopra luogo dai sigg. W. L. Leitch, Sir Grenville Temple, Baronetto, e Allen ... preceduta da un saggio storico sul Mediterraneo, e compilata dal bibliofilo M. Malagoli Vecchi sulle tracce del signor C. Pellé, etc. [electronic resource]","Il Mediterraneo illustrato, le sue isole e le sue spiagge ... opera illustrata da sessantaquattro magnifiche incisioni in acciaio eseguite dai più distinti artisti di Londra, su i disegni originali levati sopra luogo dai sigg. W. L. Leitch, Sir Grenville Temple, Baronetto, e Allen ... preceduta da un saggio storico sul Mediterraneo, e compilata dal bibliofilo M. Malagoli Vecchi sulle tracce del signor C. Pellé, etc.",,"Firenze, 1841.",,,"ALLEN, Henry Edmund. -- LEITCH, William Leighton. -- MALAGOLI VECCHI, Marco. -- TEMPLE, Grenville, Sir, Bart.","ALLEN, Henry Edmund. -- LEITCH, William Leighton. -- MALAGOLI VECCHI, Marco. -- TEMPLE, Grenville, Sir, Bart.",multiple: dash,,lsidyv3606a2b7,opera,Music
014860996,|||,ita,,,"SALVO DI PIETRAGANZILI, Rosario.",unchanged,,,Rosario Salvo,matched,Rosario Salvo,Q27924313,,"La Sicilia illustrata nelle sue grandi epoche ... Opera ... diretta e in parte scritta da R. Salvo di Pietraganzili. vol. 1. La Sicilia antica. (vol. 2, 3. Storia delle lettere in Sicilia, in rapporto alle sue condizioni politiche dall' origine della lingua sino al 1848.). [electronic resource]","La Sicilia illustrata nelle sue grandi epoche ... Opera ... diretta e in parte scritta da R. Salvo di Pietraganzili. vol. 1. La Sicilia antica. (vol. 2, 3. Storia delle lettere in Sicilia, in rapporto alle sue condizioni politiche dall' origine della lingua sino al 1848.).",,"Palermo, 1888-96.",,,,,,,lsidyv3607e29c -- lsidyv36404996 -- lsidyv3dc6ecaa,opera,Music
014861079,|||,ita,,,"TONINI, Luigi.",unchanged,,,Luigi Tonini,matched,Luigi Tonini,Q3840205,,La Storia civile e sacra Riminese. (Volume sesto ... in proseguimento all'opera del Comm. L. Tonini. Compilazione del figlio Carlo.). [electronic resource],La Storia civile e sacra Riminese. (Volume sesto ... in proseguimento all'opera del Comm. L. Tonini. Compilazione del figlio Carlo.).,,"Rimini, 1848-88.",,,"TONINI, Carlo.","TONINI, Carlo.",single or unclear,,lsidyv3639d20a -- lsidyv363a5d26,opera,Music
014861895,|||,ita,,,"LA FARINA, Giuseppe.",unchanged,,,"LA FARINA, Giuseppe.",unreconciled,,,,"La China considerata nella sua storia, ne' suoi riti ne' suoi costumi, nella sua industria, nelle sue arti e ne' più memorevoli avvenimenti della guerra attuale. Opera ... illustrata da una serie di finissime incisioni in acciaio [from drawings by T. Allom]. [electronic resource]","La China considerata nella sua storia, ne' suoi riti ne' suoi costumi, nella sua industria, nelle sue arti e ne' più memorevoli avvenimenti della guerra attuale. Opera ... illustrata da una serie di finissime incisioni in acciaio [from drawings by T. Allom].",,"Firenze, 1843-47.",,,"ALLOM, Thomas.","ALLOM, Thomas.",single or unclear,,lsidyv3dcaf089 -- lsidyv367be9f9,opera,Music
014861901,|||,eng,,,"LAKE, Edward John.",unchanged,,,"LAKE, Edward John.",unreconciled,,,,"Journals of the Sieges of the Madras Army in the years 1817, 1818, and 1819. With observations on the system according to which such operations have usually been conducted in India, etc. [electronic resource]","Journals of the Sieges of the Madras Army in the years 1817, 1818, and 1819. With observations on the system according to which such operations have usually been conducted in India, etc.",,"London : Kingsbury, Parbury and Allen, 1825.",,Sieges India.,,,,,lsidyv3677b490,opera,Music
014862032,|||,eng,,,"Marshall, John, 1784?-1837.",manual review,,1837,"Marshall, John, 1784?-1837.",none,,,,"Narrative of the Naval Operations in Ava, during the Burmese War, in ... 1824, 1825 and 1826. (Addenda et corrigenda.-Appendix.). [electronic resource]","Narrative of the Naval Operations in Ava, during the Burmese War, in ... 1824, 1825 and 1826. (Addenda et corrigenda.-Appendix.).",,"London, 1830.",,"Burmese War, 1824-1826 Naval operations.",,,,,lsidyv36783156,opera,Music
