Aleph system no.,Country code,Language code (008),Language code (041),Imprint,Imprint_clean,Publisher_clean,Publisher_role,Publication_place_final,Place_QA_status,Wikidata_QID_manual_sample,Year_end,Year_start,Year_status,Publication_year,DOM ID
14616553,|||,und,,"[London, 1894.]","[London, 1894.]",,Missing,London,Likely clean single place,Q84,,1894,Exact,1894,lsidyv34ebd20c
14616563,|||,und,,"London : Music-Publishing Co., [1860.].","London : Music-Publishing Co., [1860.].",Music-Publishing Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1860,Supplied,1860,lsidyv34990081
14616564,|||,und,,"London : Music-Publishing Co., [1861.].","London : Music-Publishing Co., [1861.].",Music-Publishing Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1861,Supplied,1861,lsidyv34990d22
14616568,|||,und,,"Dublin : T. Charles, [1820?].","Dublin : T. Charles, [1820?].",T. Charles,Named publisher or ambiguous,Dublin,Likely clean single place,Q1761,,1820,Uncertain,1820,lsidyv34939073
14616574,|||,und,,"Harrogate : R. Ackrill, 1887.","Harrogate : R. Ackrill, 1887.",R. Ackrill,Named publisher or ambiguous,Harrogate,Likely clean single place,,,1887,Exact,1887,lsidyv3492e5af
14616601,|||,und,,"pp. 49. Printed for private circulation: London, 1890.","pp. 49. Printed for private circulation : London, 1890.",,Missing,London,Review: imprint statement,,,1890,Exact,1890,lsidyv34793055
14616603,enk,eng,,"[London ; New York] : Boosey & Co., 295, Regent Street, London, W., and 9, East Seventeenth Street, New York , [1897] (London : Henderson & Spalding, Printers)","[London; New York] : Boosey & Co., 295, Regent Street, London, W., and 9, East Seventeenth Street, New York, [1897] (London : Henderson & Spalding, Printers)","Boosey & Co., 295, Regent Street, London, W., and 9, East Seventeenth Street, New York",Named publisher or ambiguous,London & New York,Multiple places,,,1897,Supplied,1897,lsidyv3509072e
14616618,|||,und,,"printed by Charles Player London, [ca. 1730].","printed by Charles Player London, [ca. 1730].",Charles Player,Printer statement,London,Review: imprint statement,,,1730,Exact,1730,lsidyv3493fdf4
14616623,|||,und,,"pp. 54. W. P. Swan: Dublin, 1888.","pp. 54. W. P. Swan : Dublin, 1888.",Dublin,Named publisher or ambiguous,pp. 54. W. P. Swan,Likely clean single place,,,1888,Exact,1888,lsidyv3495a4d2
14616626,|||,und,,"[Bradford-on-Avon?, 1864.]","[Bradford-on-Avon?, 1864.]",,Missing,Bradford-on-Avon?,Likely clean single place,,,1864,Exact,1864,lsidyv3498add1
14616631,|||,und,,"London : Metzler & Co., [1885?].","London : Metzler & Co., [1885?].",Metzler & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1885,Uncertain,1885,lsidyv34ebba56
14616638,|||,und,,"[London : J. Miles & Co., 1882].","[London : J. Miles & Co., 1882].",J. Miles & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1882,Exact,1882,lsidyv349bb6f8
14616642,|||,und,,"pp. xi. 60. Elliot Stock: London, 1894.","pp. xi. 60. Elliot Stock : London, 1894.",London,Named publisher or ambiguous,pp. xi. 60. Elliot Stock,Likely clean single place,,,1894,Exact,1894,lsidyv3495e2d1
14616643,|||,und,,"[London] : Sanders Phillips & Co., 1898.","[London] : Sanders Phillips & Co., 1898.",Sanders Phillips & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1898,Exact,1898,lsidyv349b90ae
14616645,|||,und,,"London : G. J. Parris, [1886.].","London : G. J. Parris, [1886.].",G. J. Parris,Named publisher or ambiguous,London,Likely clean single place,Q84,,1886,Supplied,1886,lsidyv34ebb56d
14616649,|||,und,,"London : J. Barker & Son, [1803.].","London : J. Barker & Son, [1803.].",J. Barker & Son,Named publisher or ambiguous,London,Likely clean single place,Q84,,1803,Supplied,1803,lsidyv34ebe3f1
14616665,|||,und,,"Cork Election Squib Office, [c.1820].","Cork Election Squib Office, [c.1820].",,Missing,Cork Election Squib Office,Likely clean single place,,,1820,Circa,1820,lsidyv34939ece
